"court_access_id","image_id","court_access_desc","court_id"
"151","1","This Court has baby changing facilities.","287"
"152","1","This Court has baby changing facilities.","288"
"153","1","This Court has baby changing facilities.","289"
"156","1","This Court has baby changing facilities.","300"
"157","1","This Court has baby changing facilities.","301"
"161","1","This Court has baby changing facilities.","309"
"162","1","This Court has baby changing facilities.","310"
"163","1","This Court has baby changing facilities.","311"
"165","1","This Court has baby changing facilities.","313"
"166","1","This Court has baby changing facilities.","315"
"169","1","This Court has baby changing facilities.","321"
"170","1","This Court has baby changing facilities.","323"
"171","1","This Court has baby changing facilities.","324"
"172","1","This Court has baby changing facilities.","327"
"173","1","This Court has baby changing facilities available on the 2nd floor concourse.","328"
"174","1","This Court has baby changing facilities.","330"
"176","1","This Court has baby changing facilities.","334"
"177","1","This Court has baby changing facilities.","335"
"178","1","This Court has baby changing facilities.","337"
"179","1","This Court has baby changing facilities.","340"
"180","1","This Court has baby changing facilities.","341"
"181","1","This Court has baby changing facilities.","342"
"182","1","This Court has baby changing facilities situated in the ground floor toilets by the public counter area.","344"
"184","1","This Court has baby changing facilities.","349"
"185","1","This Court has baby changing facilities.","352"
"187","1","This Court has baby changing facilities.","354"
"192","1","This Court has baby changing facilities.","359"
"193","1","This court has baby changing facilities.","360"
"194","1","This court has baby changing facilities.","362"
"196","1","This Court has baby changing facilities.","365"
"198","1","This Court has baby changing facilities.","370"
"199","1","This Court has baby changing facilities.","373"
"200","1","This Court has baby changing facilities.","374"
"201","1","This Court has baby changing facilities.","375"
"202","1","This Court has baby changing facilities.","379"
"203","1","This Court has baby changing facilities.","380"
"204","1","This Court has baby changing facilities.","381"
"205","1","This Court has baby changing facilities.","383"
"209","1","This Court has baby changing facilities.","390"
"211","1","This Court has baby changing facilities.","394"
"212","1","Baby changing facilities can be found within the disabled toilet area.","395"
"213","1","This court has baby changing facilities.","400"
"216","1","This Court has baby changing facilities.","408"
"217","1","This Court has baby changing facilities.","409"
"218","1","This Court has baby changing facilities.","411"
"219","1","This Court has baby changing facilities.","413"
"220","1","This Court has baby changing facilities.","414"
"221","1","This Court has baby changing facilities.","415"
"223","1","Baby changing facilities can be found on the ground floor next to recepition.","423"
"224","1","Baby changing facilities are located in the Court building.","425"
"225","1","This Court has baby changing facilities.","430"
"226","1","This Court has baby changing facilities.","432"
"227","1","This Court has baby changing facilities.","433"
"228","1","This Court has baby changing facilities.","440"
"229","1","This Court has baby changing facilities.","443"
"230","1","This Court has baby changing facilities.","445"
"231","1","Baby changing facilities are located in the family area, off the main concourse.","446"
"233","1","This Court has baby changing facilities.","448"
"234","1","This Court has baby changing facilities.","449"
"235","1","This Court has baby changing facilities.","450"
"236","1","This Court has baby changing facilities.","453"
"237","1","This Court has baby changing facilities.","455"
"240","1","Baby changing facilities can be found on the ground and 1st floors.","460"
"242","1","This Court has baby changing facilities.","462"
"245","1","Baby changing facilities can be found in the first aid room.","468"
"246","1","This Court has baby changing facilities.","471"
"251","1","This Court has baby changing facilities.","481"
"252","1","This Court has baby changing facilities.","484"
"253","1","This Court has baby changing facilities.","485"
"254","1","This Court has baby changing facilities.","486"
"255","1","This Court has baby changing facilities.","487"
"257","1","This Court has baby changing facilities.","492"
"259","1","This Court has baby changing facilities.","494"
"261","1","This Court has baby changing facilities.","497"
"262","1","This Court has baby changing facilities.","498"
"263","1","This Court has baby changing facilities.","499"
"264","1","This Court has baby changing facilities.","500"
"266","1","This Court has baby changing facilities.","504"
"268","1","This Court has baby changing facilities.","506"
"269","1","This Court has baby changing facilities.","508"
"274","1","This Court has baby changing facilities.","519"
"275","1","Baby changing facilities are contained within the public disabled toilet.","520"
"276","1","This Court has baby changing facilities.","523"
"281","1","This Court has baby changing facilities.","531"
"283","1","This Court has baby changing facilities.","534"
"284","1","This Court has baby changing facilities.","535"
"285","1","This Court has baby changing facilities.","536"
"287","1","This Court has baby changing facilities.","538"
"288","1","Baby changing facilities are located in the ladies toilets on the first floor. For fathers needing access to this facility please contact a member of staff.","544"
"289","1","This Court has baby changing facilities.","545"
"290","1","This Court has baby changing facilities, 1 in the female and 1 in the male toilets.","548"
"291","1","This Court has baby changing facilities.","551"
"292","1","This Court has baby changing facilities.","552"
"294","1","This Court has baby changing facilities.","554"
"295","1","This Court has baby changing facilities.","556"
"299","1","Baby changing facilities can be found on the ground floor in disabled toilet.","563"
"300","1","This Court has baby changing facilities.","564"
"301","1","This Court has baby changing facilities.","567"
"302","1","This Court has baby changing facilities.","568"
"305","1","This Court has baby changing facilities.","575"
"306","1","Baby changing mat is available upon request.","577"
"307","1","This Court has baby changing facilities.","578"
"310","1","This Court has baby changing facilities.","583"
"313","1","This Court has baby changing facilities.","589"
"314","1","This Court has baby changing facilities.","590"
"316","1","This Court has baby changing facilities.","592"
"317","1","This Court has baby changing facilities.","593"
"318","1","This Court has baby changing facilities.","597"
"319","1","This Court has baby changing facilities.","598"
"320","1","This Court has baby changing facilities.","600"
"321","1","This Court has baby changing facilities.","602"
"322","1","This Court has baby changing facilities.","603"
"323","1","This Court has baby changing facilities.","605"
"324","1","This Court has baby changing facilities.","606"
"325","1","This Court has baby changing facilities.","609"
"328","1","This Court has baby changing facilities.","616"
"330","1","This Court has baby changing facilities.","618"
"331","1","This Court has baby changing facilities.","622"
"333","1","This Court has baby changing facilities.","627"
"334","1","This Court has baby changing facilities.","628"
"335","1","This Court has baby changing facilities.","629"
"336","1","This Court has baby changing facilities.","630"
"337","1","This Court has baby changing facilities.","631"
"339","1","Baby changing facilities can be found on the 1st floor","634"
"340","1","This Court has baby changing facilities.","635"
"341","1","This Court has baby changing facilities.","641"
"343","1","This Court has baby changing facilities.","647"
"344","1","This Court has baby changing facilities.","648"
"345","1","This Court has baby changing facilities.","653"
"348","1","This Court has baby changing facilities.","659"
"349","1","Baby changing facilities can be found upstairs by Courtroom 2.","661"
"350","1","This Court has baby changing facilities.","662"
"353","1","This Court has baby changing facilities.","671"
"354","1","This Court has baby changing facilities.","672"
"355","1","Baby changing facilities are located in the Childrens Room on the ground floor - opposite entrance to Courtroom No.1.","673"
"357","1","This Court has baby changing facilities.","678"
"358","1","This Court has baby changing facilities.","679"
"359","1","Changing facilities are available at Workington court, please ask the court usher. However, children should not be brought to court unless they have someone to look after them whilst you are in court.","680"
"360","1","This Court has baby changing facilities.","681"
"362","1","This Court has baby changing facilities.","689"
"363","1","This Court has baby changing facilities.","691"
"364","1","This Court has baby changing facilities.","62"
"366","1","This Court has baby changing facilities.","76"
"368","1","This Court has baby changing facilities.","157"
"369","1","This Court has baby changing facilities.","215"
"371","1","This court has baby changing facilities.","426"
"373","1","This Court has baby changing facilities.","608"
"374","1","This Court has baby changing facilities.","612"
"376","1","This Court has baby changing facilities.","692"
"543","5","Small selection of toys & colouring books available in 2nd Floor waiting area","9"
"545","5","This Court has a childrens room facility.","30"
"546","5","This Court has a childrens room facility.","34"
"548","5","This Court has a childrens room facility.","40"
"550","5","This Court has a childrens room facility.","50"
"554","5","This Court has a childrens room facility.","64"
"555","5","This Court has a childrens room facility.","65"
"556","5","This Court has a childrens room facility.","73"
"557","5","This Court has an unsupervised childrens room.","78"
"558","5","This Court has an unsupervised childrens room.","79"
"559","5","This Court has a childrens room facility.","87"
"562","5","There is a childrens room on the first floor in a secure area.","96"
"566","5","toys available.","107"
"567","5","This court has a children's room facility.","118"
"568","5","This Court has a childrens room facility.","125"
"569","5","This Court has a childrens room facility.","132"
"573","5","This Court has a childrens room facility.","160"
"574","5","This Court has a childrens room facility.","180"
"579","5","This Court has a childrens room facility.","214"
"581","5","This Court has a waiting area with toys.","231"
"583","5","This Court has a childrens room facility.","248"
"584","5","This Court has an unsupervised childrens play area.","252"
"585","5","This Court has a childrens room facility.","276"
"589","5","This Court has a childrens room facility.","309"
"590","5","This Court has a childrens room facility.","310"
"592","5","This Court has a childrens room facility.","315"
"593","5","This Court has a childrens room facility.","324"
"594","5","This Court has a childrens room facility.","335"
"595","5","This court has a child witness waiting room.","349"
"596","5","A childrens area is available.","352"
"601","5","This Court has a childrens room facility.","374"
"605","5","This Court has a childrens room facility.","395"
"607","5","This Court has a childrens room facility.","408"
"608","5","This Court has a childrens room facility.","411"
"609","5","We have a childrens corner in the mail reception area and a newly designated family/witness room which had toys and games for children.","414"
"610","5","This Court has a childrens room facility.","415"
"611","5","A childrens room is located on the first floor.","423"
"612","5","This Court has a childrens room facility.","430"
"613","5","Childrens facility in family area only","446"
"616","5","Children are not allowed unaccompanied in the building.","460"
"617","5","A childrens waiting area is located outside the Civil court's","468"
"619","5","This Court has a childrens room facility.","486"
"620","5","This Court has a childrens room facility.","492"
"622","5","This Court has an unsupervised area in main waiting room with toys etc.","519"
"623","5","This Court has a childrens room facility.","554"
"626","5","This Court has a childrens room facility.","564"
"627","5","This Court has a childrens room facility.","567"
"630","5","childrens play area in waiting room","583"
"631","5","This Court has a childrens room facility.","589"
"633","5","Toys provided in waiting areas","600"
"634","5","This Court has a childrens room facility.","602"
"635","5","toys & books provided in waiting room","619"
"636","5","This Court has a childrens room facility.","629"
"637","5","This Court has a childrens room facility.","631"
"638","5","This Court has a childrens room facility.","653"
"640","5","This Court has a childrens room facility within the Witness Service Waiting Suites.","671"
"641","5","A childrens room is located on the ground floor - opposite courtroom No.1.","673"
"643","5","A childrens area is available in the waiting room.","689"
"644","5","limited use allowed","691"
"860","1","This Court has baby changing facilities.","412"
"2845","15","Guide Dogs are welcome at this Court.
 <script src=""http://www.justice.gov.uk/__data/assets/js_file/0009/31401/ga.js""> </script>","3"
"2849","15","Guide Dogs are welcome at this Court.
<script></script>","7"
"2851","15","Please let the Court know prior to hearing.","9"
"2852","15","Guide Dogs are welcome at this Court.","10"
"2854","15","Guide Dogs are welcome at this Court.","13"
"2855","15","Guide Dogs are welcome at this Court.","14"
"2857","15","Guide Dogs are welcome at this Court.","16"
"2860","15","Guide Dogs are welcome at this Court.","19"
"2861","15","Guide Dogs are welcome at this Court.","21"
"2862","15","Guide Dogs are welcome at this Court.","23"
"2864","15","Guide Dogs are welcome at this Court.","26"
"2867","15","Guide Dogs are welcome at this Court.","30"
"2869","15","Guide Dogs are welcome at this Court.","32"
"2871","15","Guide Dogs are welcome at this Court.","34"
"2872","15","Guide Dogs are welcome at this Court.","35"
"2874","15","Guide Dogs are welcome at this Court.","39"
"2875","15","Guide Dogs are welcome at this Court.","40"
"2876","15","Guide Dogs are welcome at this Court.","42"
"2877","15","Guide Dogs are welcome at this Court.","43"
"2878","15","Guide Dogs are welcome at this Court.","45"
"2879","15","Guide Dogs are welcome at this Court.","49"
"2880","15","Guide Dogs are welcome at this Court.","50"
"2881","15","Guide Dogs are welcome at this Court.","51"
"2883","15","Guide Dogs are welcome at this Court.","53"
"2884","15","Guide Dogs are welcome at this Court.","54"
"2887","15","Guide Dogs are welcome at this Court.","58"
"2888","15","Guide Dogs are welcome at this Court.","59"
"2892","15","Guide Dogs are welcome at this Court.","64"
"2893","15","Guide Dogs are welcome at this Court.","65"
"2894","15","Guide Dogs are welcome at this Court.","66"
"2897","15","Guide Dogs are welcome at this Court.","70"
"2898","15","Guide Dogs are welcome at this Court.","71"
"2899","15","Guide Dogs are welcome at this Court.","73"
"2900","15","Guide Dogs are welcome at this Court.","74"
"2901","15","Guide Dogs are welcome at this Court.","78"
"2902","15","Guide Dogs are welcome at this Court.","79"
"2903","15","Guide Dogs are welcome at this Court.","80"
"2904","15","Guide Dogs are welcome at this Court.","81"
"2906","15","Guide Dogs are welcome at this Court.","83"
"2907","15","Guide Dogs are welcome at this Court.","85"
"2908","15","Guide Dogs are welcome at this Court.","86"
"2909","15","Guide Dogs are welcome at this Court.","87"
"2910","15","Guide Dogs are welcome at this Court.","88"
"2913","15","Guide Dogs are welcome at this Court.","94"
"2915","15","Guide Dogs are welcome at this Court.","96"
"2919","15","Guide Dogs are welcome at this Court.","101"
"2921","15","Water can be arranged from court staff.","104"
"2922","15","Guide Dogs are welcome at this Court.","107"
"2923","15","Guide Dogs are welcome at this Court.","108"
"2925","15","Guide Dogs are welcome at this Court.","110"
"2926","15","Guide Dogs are welcome at this Court.","111"
"2927","15","Guide Dogs are welcome at this Court.","112"
"2928","15","Guide Dogs are welcome at this Court.","113"
"2929","15","Guide Dogs are welcome at this Court.","114"
"2930","15","Guide Dogs are welcome at this Court.","115"
"2931","15","Guide dogs are welcome at this court.","118"
"2932","15","Guide Dogs are welcome at this Court.","121"
"2933","15","Guide Dogs are welcome at this Court.","123"
"2935","15","Guide Dogs are welcome at this Court.","125"
"2936","15","Guide Dogs are welcome at this Court.","126"
"2937","15","Guide Dogs are welcome at this Court.","127"
"2938","15","Guide Dogs are welcome at this Court.","128"
"2939","15","Guide Dogs are welcome at this Court.","129"
"2940","15","Guide Dogs are welcome at this Court.","130"
"2941","15","Guide Dogs are welcome at this Court.","132"
"2943","15","Guide Dogs are welcome at this Court.","136"
"2945","15","Guide Dogs are welcome at this Court.","138"
"2946","15","Guide Dogs are welcome at this Court.","145"
"2947","15","Guide Dogs are welcome at this Court.","148"
"2949","15","Guide Dogs are welcome at this Court.","150"
"2953","15","Guide dogs can be accommodated by prior arrangement with the Court.","159"
"2954","15","Guide Dogs are welcome at this Court.","160"
"2955","15","Guide Dogs are welcome at this Court.","161"
"2956","15","Guide Dogs are welcome at this Court.","163"
"2957","15","Assisted dogs are welcome at this court.","165"
"2959","15","Guide Dogs are welcome at this Court.","167"
"2960","15","Guide Dogs are welcome at this Court.","169"
"2963","15","Guide Dogs are welcome at this Court.","176"
"2964","15","Guide Dogs are welcome at this Court.","177"
"2965","15","Guide Dogs are welcome at this Court.","178"
"2966","15","Guide Dogs are welcome at this Court.","180"
"2967","15","Guide Dogs are welcome at this Court.","181"
"2968","15","Guide Dogs are welcome at this Court.","183"
"2969","15","Guide Dogs are welcome at this Court.","541"
"2971","15","Guide Dogs are welcome at this Court.","186"
"2972","15","Guide Dogs are welcome at this Court.","187"
"2974","15","Guide Dogs are welcome at this Court.","189"
"2975","15","Guide Dogs are welcome at this Court.","190"
"2976","15","Guide Dogs are welcome at this Court.","191"
"2977","15","Guide Dogs are welcome at this Court.","192"
"2978","15","Guide Dogs are welcome at this Court.","193"
"2980","15","Guide Dogs are welcome at this Court.","197"
"2981","15","Guide Dogs are welcome at this Court.","198"
"2982","15","Guide Dogs are welcome at this Court.","199"
"2986","15","Guide dogs are welcome at this court.","205"
"2987","15","Guide Dogs are welcome at this Court.","206"
"2988","15","We welcom guide dogs and other support dogs.","207"
"2989","15","Guide Dogs are welcome at this Court.","209"
"2991","15","Guide Dogs are welcome at this Court.","211"
"2992","15","Guide dogs are welcome at this court.","212"
"2993","15","Guide Dogs are welcome at this Court.","213"
"2994","15","Guide Dogs are welcome at this Court.","214"
"2995","15","Guide Dogs are welcome at this Court.","216"
"2996","15","Guide Dogs are welcome at this Court.","217"
"2997","15","Guide Dogs are welcome at this Court.","218"
"3000","15","Guide Dogs are welcome at this Court.","223"
"3001","15","Guide Dogs are welcome at this Court.","228"
"3002","15","Guide Dogs are welcome at this Court.","230"
"3003","15","Guide Dogs are welcome at this Court.","231"
"3004","15","Guide Dogs are welcome at this Court.","233"
"3005","15","Guide Dogs are welcome at this Court.","235"
"3007","15","Guide Dogs are welcome at this Court.","239"
"3008","15","Guide Dogs are welcome at this Court.","242"
"3009","15","Guide Dogs are welcome at this Court.","243"
"3012","15","Guide Dogs are welcome at this Court.","248"
"3013","15","Guide Dogs are welcome at this Court.","249"
"3015","15","Guide Dogs are welcome at this Court.","252"
"3016","15","Guide Dogs are welcome at this Court.","253"
"3017","15","Guide Dogs are welcome at this Court.","254"
"3018","15","Guide Dogs are welcome at this Court.","255"
"3019","15","Guide Dogs are welcome at this Court.","257"
"3020","15","Guide Dogs are welcome at this Court.","258"
"3023","15","Guide Dogs are welcome at this Court.","261"
"3024","15","Guide Dogs are welcome at this Court.","262"
"3026","15","Guide Dogs are welcome at this Court.","266"
"3027","15","Guide Dogs are welcome at this Court.","268"
"3028","15","Guide Dogs are welcome at this Court.","269"
"3030","15","Guide Dogs are welcome at this Court.","271"
"3031","15","Guide Dogs are welcome at this Court.","272"
"3033","15","Guide dogs can be accommodated by prior arrangement with the Customer Service Officer","274"
"3034","15","Guide Dogs are welcome at this Court.","275"
"3036","15","Guide Dogs are welcome at this Court.","277"
"3037","15","Guide Dogs are welcome at this Court.","282"
"3038","15","Guide Dogs are welcome at this Court.","284"
"3039","15","Guide Dogs are welcome at this Court.","285"
"3040","15","Guide Dogs are welcome at this Court.","287"
"3041","15","Guide Dogs are welcome at this Court.","288"
"3042","15","Guide Dogs are welcome at this Court.","289"
"3045","15","Guide Dogs are welcome at this Court.","296"
"3046","15","Guide Dogs are welcome at this Court.","300"
"3047","15","Guide Dogs are welcome at this Court.","301"
"3051","15","Guide Dogs are welcome at this Court.","308"
"3052","15","Guide Dogs are welcome at this Court.","309"
"3053","15","Guide Dogs are welcome at this Court.","310"
"3054","15","Guide Dogs are welcome at this Court.","311"
"3056","15","Guide Dogs are welcome at this Court.","313"
"3057","15","Guide Dogs are welcome at this Court.","314"
"3059","15","Guide Dogs are welcome at this Court.","320"
"3060","15","Guide Dogs are welcome at this Court.","321"
"3062","15","Guide Dogs are welcome at this Court.","323"
"3063","15","Guide Dogs are welcome at this Court.","325"
"3064","15","Guide Dogs are welcome at this Court.","326"
"3065","15","Guide Dogs are welcome at this Court.","327"
"3066","15","Guide Dogs are welcome at this Court.","328"
"3067","15","Guide Dogs are welcome at this Court.","330"
"3070","15","Guide Dogs are welcome at this Court.","334"
"3071","15","Guide Dogs are welcome at this Court.","335"
"3072","15","Guide Dogs are welcome at this Court.","337"
"3075","15","Guide Dogs are welcome at this Court.","340"
"3076","15","Guide Dogs are welcome at this Court.","341"
"3077","15","Guide Dogs are welcome at this Court.","342"
"3078","15","Guide Dogs are welcome at this Court.","344"
"3079","15","Guide Dogs are welcome at this Court.","345"
"3081","15","Guide Dogs are welcome at this Court.","349"
"3082","15","Guide Dogs are welcome at this Court.","351"
"3083","15","Guide Dogs are welcome at this Court.","352"
"3084","15","Guide Dogs are welcome at this Court.","353"
"3085","15","Guide Dogs are welcome at this Court.","354"
"3088","15","Guide Dogs are welcome at this Court.","357"
"3090","15","Guide Dogs are welcome at this Court.","359"
"3091","15","Guide dogs are welcome at this court.","360"
"3092","15","Guide Dogs are welcome at this Court.","361"
"3094","15","Guide Dogs are welcome at this Court.","365"
"3095","15","Guide Dogs are welcome at this Court.","368"
"3097","15","Guide Dogs are welcome at this Court.","370"
"3098","15","Guide Dogs are welcome at this Court.","373"
"3099","15","Guide Dogs are welcome at this Court.","374"
"3100","15","Guide Dogs are welcome at this Court.","375"
"3102","15","Guide Dogs are welcome at this Court.","379"
"3103","15","Guide Dogs are welcome at this Court.","380"
"3104","15","Guide Dogs are welcome at this Court.","381"
"3106","15","Guide Dogs are welcome at this Court.","383"
"3111","15","Guide Dogs are welcome at this Court.","390"
"3114","15","Guide Dogs are welcome at this Court.","394"
"3117","15","Guide Dogs are welcome at this Court.","408"
"3118","15","Guide Dogs are welcome at this Court.","409"
"3119","15","Guide Dogs are welcome at this Court.","411"
"3120","15","Guide Dogs are welcome at this Court.","412"
"3121","15","Guide Dogs are welcome at this Court.","413"
"3122","15","Guide Dogs are welcome at this Court.","414"
"3123","15","Guide Dogs are welcome at this Court.","415"
"3126","15","Guide Dogs are welcome at this Court.","423"
"3128","15","Guide Dogs are welcome at this Office.","425"
"3129","15","Guide Dogs are welcome at this Court.","427"
"3131","15","Guide Dogs are welcome at this Court.","430"
"3132","15","Guide Dogs are welcome at this Court.","431"
"3133","15","Guide Dogs are welcome at this Court.","432"
"3134","15","Guide Dogs are welcome at this Court.","433"
"3135","15","Guide Dogs are welcome at this Court.","440"
"3136","15","Guide Dogs are welcome at this Court.","443"
"3137","15","Guide Dogs are welcome at this Court.","445"
"3138","15","Guide Dogs are welcome at this Court.","446"
"3140","15","Guide Dogs are welcome at this Court.","448"
"3141","15","Guide Dogs are welcome at this Court.","449"
"3142","15","Guide Dogs are welcome at this Court.","450"
"3144","15","Guide Dogs are welcome at this Court.","453"
"3145","15","Guide Dogs are welcome at this Court.","455"
"3146","15","Guide Dogs are welcome at this Court.","456"
"3147","15","Guide Dogs are welcome at this Court.","457"
"3150","15","Assisting Dogs are welcome at this Court.","460"
"3152","15","Guide Dogs are welcome at this Court.","462"
"3156","15","Guide Dogs are welcome at this Court.","469"
"3158","15","Guide Dogs are welcome at this Court.","471"
"3163","15","Guide Dogs are welcome at this Court.","481"
"3164","15","Guide Dogs are welcome at this Court.","484"
"3165","15","Guide Dogs are welcome at this Court.","485"
"3166","15","Guide Dogs are welcome at this Court.","486"
"3167","15","Guide Dogs are welcome at this Court.","487"
"3171","15","Guide Dogs are welcome at this Court.","492"
"3172","15","Guide dogs and helping dogs welcome","493"
"3173","15","Guide Dogs are welcome at this Court.","494"
"3175","15","Guide Dogs are welcome at this Court.","497"
"3176","15","Guide Dogs are welcome at this Court.","498"
"3177","15","Guide Dogs are welcome at this Court.","499"
"3178","15","Guide Dogs are welcome at this Court.","500"
"3180","15","Guide Dogs are welcome at this Court.","504"
"3182","15","Guide Dogs are welcome at this Court.","506"
"3183","15","Guide Dogs are welcome at this Court.","507"
"3184","15","Guide Dogs are welcome at this Court.","508"
"3189","15","Guide Dogs are welcome at this Court.","519"
"3190","15","Guide Dogs are welcome at this Court.","520"
"3191","15","Guide Dogs are welcome at this Court.","523"
"3192","15","Guide Dogs are welcome at this Court.","524"
"3196","15","Guide Dogs are welcome at this Court.","530"
"3197","15","Guide Dogs are welcome at this Court.","531"
"3199","15","Guide Dogs are welcome at this Court.","534"
"3200","15","Guide Dogs are welcome at this Court.","535"
"3201","15","Guide Dogs are welcome at this Court.","536"
"3203","15","Guide Dogs are welcome at this Court.","538"
"3204","15","Guide Dogs are welcome at this Court.","540"
"3205","15","Guide dogs are welcome at this court.  If you need any assistance, please ask a member of staff.","544"
"3206","15","Guide Dogs are welcome at this Court.","545"
"3207","15","Guide Dogs are welcome at this Court.","547"
"3208","15","Guide Dogs are welcome at this Court.","548"
"3209","15","Guide Dogs are welcome at this Court.","551"
"3210","15","Guide Dogs are welcome at this Court.","552"
"3211","15","Guide Dogs are welcome at this Court.","553"
"3212","15","Guide Dogs are welcome at this Court.","554"
"3213","15","Guide Dogs are welcome at this Court.","556"
"3214","15","Guide Dogs are welcome at this Court.","557"
"3215","15","Guide Dogs are welcome at this Court.","558"
"3216","15","Guide Dogs are welcome at this Court.","559"
"3217","15","Guide Dogs are welcome at this Court.","562"
"3218","15","Guide Dogs are welcome at this Court.","563"
"3219","15","Guide Dogs are welcome at this Court.","564"
"3220","15","Guide Dogs are welcome at this Court.","565"
"3221","15","Guide Dogs are welcome at this Court.","567"
"3222","15","Guide Dogs are welcome at this Court.","568"
"3226","15","Guide Dogs are welcome at this Court.","575"
"3227","15","Guide Dogs are welcome at this Court.","577"
"3228","15","Guide Dogs are welcome at this Court.","578"
"3231","15","Guide Dogs are welcome at this Court.","583"
"3235","15","Guide Dogs are welcome at this Court.","589"
