"court_email_id","court_email_desc","court_email_addr","court_id"
"53","Family:","family@brighton.countycourt.gsi.gov.uk","96"
"54","Hearings:","hearings@brighton.countycourt.gsi.gov.uk","96"
"63","Bailiffs:","bailiffs@burnley.countycourt.gsi.gov.uk","107"
"64","e-Filing:","e-filing@burnley.countycourt.gsi.gov.uk","107"
"65","Enquiries:","enquiries@burnley.countycourt.gsi.gov.uk","107"
"66","Family:","family@burnley.countycourt.gsi.gov.uk","107"
"67","Hearings:","hearings@burnley.countycourt.gsi.gov.uk","107"
"68","Enquiries:","ln-reedleymcenq@hmcts.gsi.gov.uk","108"
"69","Family:","ln-reedleymcfam@hmcts.gsi.gov.uk","108"
"72","Enquiries:","enquiries@cambridge.crowncourt.gsi.gov.uk","126"
"73","Bailiffs:","bailiffs@canterbury.countycourt.gsi.gov.uk","129"
"74","e-Filing:","e-filing@canterbury.countycourt.gsi.gov.uk","129"
"75","Enquiries:","enquiries@canterbury.countycourt.gsi.gov.uk","129"
"76","Family:","family@canterbury.countycourt.gsi.gov.uk","129"
"77","Hearings:","hearings@canterbury.countycourt.gsi.gov.uk","129"
"80","Enquiries:","enquiries@cardiff.countycourt.gsi.gov.uk","131"
"84","Bailiffs:","bailiffs@carlisle.countycourt.gsi.gov.uk","135"
"85","e-Filing:","e-filing@carlisle.countycourt.gsi.gov.uk","135"
"86","Enquiries:","enquiries@carlisle.countycourt.gsi.gov.uk","135"
"88","Hearings:","hearings@carlisle.countycourt.gsi.gov.uk","135"
"89","Enquiries:","cumbria.north.magistrates@hmcts.gsi.gov.uk","136"
"92","Enquiries:","GL-CAO.correspond@hmcts.gsi.gov.uk","141"
"93","Enquiries:","ny-cfuaccounts@hmcts.gsi.gov.uk","144"
"100","Bailiffs:","bailiffs@chester.countycourt.gsi.gov.uk","156"
"101","Orders","orders@chester.countycourt.gsi.gov.uk","156"
"102","Enquiries:","enquiries@chester.countycourt.gsi.gov.uk","156"
"103","Family:","family@chester.countycourt.gsi.gov.uk","156"
"104","Hearings:","hearings@chester.countycourt.gsi.gov.uk","156"
"106","Enquiries:","du-durhammcnorthenq@hmcts.gsi.gov.uk","162"
"107","Enquiries:","ln-chorleymcenq@hmcts.gsi.gov.uk","167"
"108","Family:","ln-chorleymcfam@hmcts.gsi.gov.uk","167"
"109","Enquiries:","du-durhammcnorthenq@hmcts.gsi.gov.uk","176"
"111","Bailiffs:","bailiffs@coventry.countycourt.gsi.gov.uk","180"
"112","e-Filing:","e-filing@coventry.countycourt.gsi.gov.uk","180"
"113","Enquiries:","enquiries@coventry.countycourt.gsi.gov.uk","180"
"114","Family:","family@coventry.countycourt.gsi.gov.uk","180"
"115","Hearings:","hearings@coventry.countycourt.gsi.gov.uk","180"
"118","Enquiries:","du-durhammcsouthenq@hmcts.gsi.gov.uk","191"
"119","Enquiries:","nw-llandudnoenq@hmcts.gsi.gov.uk","197"
"120","Bailiffs:","bailiffs@derby.countycourt.gsi.gov.uk","198"
"121","e-Filing:","e-filing@derby.countycourt.gsi.gov.uk","198"
"122","County Court enquiries:","enquiries@derby.countycourt.gsi.gov.uk","198"
"123","Family:","family@derby.countycourt.gsi.gov.uk","198"
"124","County Court hearings:","hearings@derby.countycourt.gsi.gov.uk","198"
"125","Enquiries:","wy-dewsburymags@hmcts.gsi.gov.uk","203"
"126","General enquiries:","Nw-caernarfonmcenq@hmcts.gsi.gov.uk","205"
"127","Bailiffs:","bailiffs@doncaster.countycourt.gsi.gov.uk","206"
"128","e-Filing:","e-filing@doncaster.countycourt.gsi.gov.uk","206"
"129","Enquiries:","enquiries@doncaster.countycourt.gsi.gov.uk","206"
"130","Family:","family@doncaster.countycourt.gsi.gov.uk","206"
"131","Hearings:","hearings@doncaster.countycourt.gsi.gov.uk","206"
"132","Bailiffs:","bailiffs@dudley.countycourt.gsi.gov.uk","212"
"133","Enquiries:","enquiries@dudley.countycourt.gsi.gov.uk","212"
"134","Family:","family@dudley.countycourt.gsi.gov.uk","212"
"135","Hearings:","hearings@dudley.countycourt.gsi.gov.uk","212"
"136","Enquiries:","du-durhammcnorthenq@hmcts.gsi.gov.uk","216"
"137","Bailiffs:","bailiffs@edmonton.countycourt.gsi.gov.uk","221"
"138","e-Filing:","e-filing@edmonton.countycourt.gsi.gov.uk","221"
"139","Enquiries:","enquiries@edmonton.countycourt.gsi.gov.uk","221"
"140","Family:","family@edmonton.countycourt.gsi.gov.uk","221"
"141","Hearings:","hearings@edmonton.countycourt.gsi.gov.uk","221"
"144","Enquiries:","ha-portsmcenquiry@hmcts.gsi.gov.uk","230"
"146","Enquiries:","furness.magistrates@hmcts.gsi.gov.uk","237"
"148","Enquiries:","grantham@lincolnshire-magistrates.org.uk","248"
"153","Enquiries:","ny-harrogatemcenq@hmcts.gsi.gov.uk","268"
"155","Enquiries:","wycombe.magistrates@hmcts.gsi.gov.uk

","288"
"156","Enquiries:","nw-caernarfonmcenq@hmcts.gsi.gov.uk","292"
"157","Enquiries:","gl-horseferry.court@hmcts.gsi.gov.uk","295"
"159","Bailiffs:","bailiffs@huddersfield.countycourt.gsi.gov.uk","300"
"160","e-Filing:","e-filing@huddersfield.countycourt.gsi.gov.uk","300"
"161","Family:","family@huddersfield.countycourt.gsi.gov.uk","300"
"162","Hearings:","hearings@huddersfield.countycourt.gsi.gov.uk","300"
"163","Enquiries:","wy-huddersfieldmags@hmcts.gsi.gov.uk","301"
"165","Enquiries:","enquiries@innerlondon.crowncourt.gsi.gov.uk","308"
"166","Enquiries:","casework.family@hmcts.gsi.gov.uk","309"
"169","Enquiries:","enquiries@isleworth.crowncourt.gsi.gov.uk","315"
"170","Enquiries:","kendal.cty.cm@hmcts.gsi.gov.uk","318"
"171","Enquiries:","cumbria.south.magistrates@hmcts.gsi.gov.uk","319"
"172","Enquiries:","kingslynn.court@hmcts.gsi.gov.uk","326"
"173","Court Manager:","hull.cmb.cm@hmcts.gsi.gov.uk","327"
"174","Enquiries:","ln-lancastermcenq@hmcts.gsi.gov.uk","337"
"177","Enquiries:","wy-leedsmags@hmcts.gsi.gov.uk","342"
"179","Bailiffs:","bailiffs@leicester.countycourt.gsi.gov.uk","344"
"180","e-Filing:","e-filing@leicester.countycourt.gsi.gov.uk","344"
"181","Enquiries:","enquiries@leicester.countycourt.gsi.gov.uk","344"
"182","Family:","family@leicester.countycourt.gsi.gov.uk","344"
"183","Hearings:","hearings@leicester.countycourt.gsi.gov.uk","344"
"184","Enquiries:","leicester.enquiries@leicester.crowncourt.gsi.gov.uk","345"
"185","Bailiffs:","bailiffs@lewes.countycourt.gsi.gov.uk","349"
"186","e-Filing:","e-filing@lewes.countycourt.gsi.gov.uk","349"
"187","Enquiries:","enquiries@lewes.countycourt.gsi.gov.uk","349"
"189","Hearings:","hearings@lewes.countycourt.gsi.gov.uk","349"
"190","Enquiries:","ln-chorleymcenq@hmcts.gsi.gov.uk","351"
"191","Family:","ln-chorleymcfam@hmcts.gsi.gov.uk","351"
"192","Bailiffs:","bailiffs@lincoln.countycourt.gsi.gov.uk","352"
"193","e-Filing:","e-filing@lincoln.countycourt.gsi.gov.uk","352"
"194","Enquiries:","enquiries@lincoln.countycourt.gsi.gov.uk","352"
"195","Family:","family@lincoln.countycourt.gsi.gov.uk","352"
"196","Hearings:","hearings@lincoln.countycourt.gsi.gov.uk","352"
"197","Enquiries:","li-lincoln@hmcts.gsi.gov.uk","354"
"199","Enquiries:","nw-llandudnomcenq@hmcts.gsi.gov.uk","360"
"200","Enquiries:","nw-caernarfonmcenq@hmcts.gsi.gov.uk","363"
"202","Enquiries:","luton.enquiries@luton.crowncourt.gsi.gov.uk","375"
"208","Bailiffs:","bailiffs@miltonkeynes.countycourt.gsi.gov.uk","408"
"210","Enquiries:","enquiries@miltonkeynes.countycourt.gsi.gov.uk","408"
"211","Family:","family@miltonkeynes.countycourt.gsi.gov.uk","408"
"212","Enquiries:","nw-wrexhammcenq@hmcts.gsi.gov.uk.cjsm.net","413"
"215","Finance Dept:","no-newcastlemcfines@hmcts.gsi.gov.uk","425"
"217","Enquiries:","du-durhammcsouthenq@hmcts.gsi.gov.uk","433"
"218","Enquiries:","ny-nallertonmcenq@hmcts.gsi.gov.uk","440"
"219","Bailiffs:","bailiffs@northampton.countycourt.gsi.gov.uk","441"
"220","e-Filing:","e-filing@northampton.countycourt.gsi.gov.uk","441"
"221","Enquiries:","enquiries@northampton.countycourt.gsi.gov.uk","441"
"222","Family:","family@northampton.countycourt.gsi.gov.uk","441"
"223","Hearings:","hearings@northampton.countycourt.gsi.gov.uk","441"
"224","Bailiffs:","bailiffs@norwich.countycourt.gsi.gov.uk","445"
"225","e-Filing:","e-filing@norwich.countycourt.gsi.gov.uk","445"
"226","County Court Enquiries:","enquiries@norwich.countycourt.gsi.gov.uk","445"
"227","Family:","family@norwich.countycourt.gsi.gov.uk","445"
"228","Hearings:","hearings@norwich.countycourt.gsi.gov.uk","445"
"229","Enquiries:","norwich.court@hmcts.gsi.gov.uk","446"
"233","Bailiffs:","bailiffs@nuneaton.countycourt.gsi.gov.uk","452"
"234","e-Filing:","e-filing@nuneaton.countycourt.gsi.gov.uk","452"
"235","Enquiries:","enquiries@nuneaton.countycourt.gsi.gov.uk","452"
"236","Hearings:","hearings@nuneaton.countycourt.gsi.gov.uk","452"
"237","Bailiffs:","bailiffs@oldham.countycourt.gsi.gov.uk","455"
"238","e-Filing:","e-filing@oldham.countycourt.gsi.gov.uk","455"
"239","Enquiries:","enquiries@oldham.countycourt.gsi.gov.uk","455"
"240","Family:","family@oldham.countycourt.gsi.gov.uk","455"
"241","Enquiries:","ln-chorleymcenq@hmcts.gsi.gov.uk","457"
"242","Family:","ln-chorleymcfam@hmcts.gsi.gov.uk","457"
"243","Bailiffs:","bailiffs@oxford.countycourt.gsi.gov.uk","460"
"244","e-Filing:","e-filing@oxford.countycourt.gsi.gov.uk","460"
"245","Enquiries:","enquiries@oxford.countycourt.gsi.gov.uk","460"
"246","Family:","family@oxford.countycourt.gsi.gov.uk","460"
"247","Hearings:","hearings@oxford.countycourt.gsi.gov.uk","460"
"249","Enquiries:","cumbria.north.magistrates@hmcts.gsi.gov.uk","464"
"253","Enquiries:","du-durhammcnorthenq@hmcts.gsi.gov.uk","471"
"255","Enquiries:","wy-pontefractmags@hmcts.gsi.gov.uk","476"
"256","Enquiries:","poolecty.mail@hmcts.gsi.gov.uk","480"
"258","Enquiries:","nw-llandudnomcenq@hmcts.gsi.gov.uk","485"
"261","Enquiries:","nw-caernarfonmcenq@hmcts.gsi.gov.uk","488"
"264","Bailiffs:","bailiffs@reading.countycourt.gsi.gov.uk","492"
"265","Enquiries:","enquiries@reading.countycourt.gsi.gov.uk","492"
"266","Family:","family@reading.countycourt.gsi.gov.uk","492"
"267","Hearings:","hearings@reading.countycourt.gsi.gov.uk","492"
"274","Enquiries:","gl-richmondmcenq@hmcts.gsi.gov.uk","504"
"275","Bailiffs:","bailiffs@romford.countycourt.gsi.gov.uk","506"
"276","e-Filing:","e-filing@romford.countycourt.gsi.gov.uk","506"
"277","Enquiries:","enquiries@romford.countycourt.gsi.gov.uk","506"
"278","Family:","family@romford.countycourt.gsi.gov.uk","506"
"279","Hearings:","hearings@romford.countycourt.gsi.gov.uk","506"
"281","Bailiffs:","bailiffs@salford.countycourt.gsi.gov.uk","513"
"282","e-Filing:","e-filing@salford.countycourt.gsi.gov.uk","513"
"283","Enquiries:","enquiries@salford.countycourt.gsi.gov.uk","513"
"284","Family:","family@salford.countycourt.gsi.gov.uk","513"
"285","Hearings:","hearings@salford.countycourt.gsi.gov.uk","513"
"286","Enquiries:","ny-scarboroughmcenq@hmcts.gsi.gov.uk","518"
"288","Enquiries:","ny-yorkmcenq@hmcts.gsi.gov.uk","522"
"289","Bailiffs:","bailiffs@sheffield.countycourt.gsi.gov.uk","524"
"290","e-Filing:","e-filing@sheffield.countycourt.gsi.gov.uk","524"
"291","Enquiries:","enquiries@sheffield.countycourt.gsi.gov.uk","524"
"292","Family:","family@sheffield.countycourt.gsi.gov.uk","524"
"293","Hearings:","hearings@sheffield.countycourt.gsi.gov.uk","524"
"295","Enquiries:","enquiries@shrewsbury.crowncourt.gsi.gov.uk","530"
"296","Enquiries:","li-skegness@hmcts.gsi.gov.uk","534"
"297","Enquiries:","ny-skiptonmcenq@hmcts.gsi.gov.uk","536"
"298","Enquiries:","av-yeovil.mc@hmcts.gsi.gov.uk","546"
"299","Enquiries:","gl-swesternmcenq@hmcts.gsi.gov.uk","548"
"300","General enquiries:","ha-sotonmccourtserv@hmcts.gsi.gov.uk","551"
"304","Bailiffs:","bailiffs@sunderland.countycourt.gsi.gov.uk","583"
"305","e-Filing:","e-filing@sunderland.countycourt.gsi.gov.uk","583"
"306","Enquiries:","enquiries@sunderland.countycourt.gsi.gov.uk","583"
"307","Family:","family@sunderland.countycourt.gsi.gov.uk","583"
"308","Hearings:","hearings@sunderland.countycourt.gsi.gov.uk","583"
"310","Bailiffs:","swindon.cty.b@hmcts.gsi.gov.uk","591"
"311","e-Filing:","swindon.cty.efg@hmcts.gsi.gov.uk","591"
"312","Enquiries:","swindon.cty.enq@hmcts.gsi.gov.uk","591"
"313","Family:","swindon.cty.fly@hmcts.gsi.gov.uk","591"
"314","Hearings:","swindon.cty.hrg@hmcts.gsi.gov.uk","591"
"317","Enquiries:","enquiries@taunton.countycourt.gsi.gov.uk","597"
"318","Family:","family@taunton.countycourt.gsi.gov.uk","597"
"320","Bailiffs:","bailiffs@middlesbrough.countycourt.gsi.gov.uk","600"
"321","e-Filing:","e-filing@middlesbrough.countycourt.gsi.gov.uk","600"
"322","Enquiries:","enquiries@middlesbrough.countycourt.gsi.gov.uk","600"
"323","Family:","family@middlesbrough.countycourt.gsi.gov.uk","600"
"324","Hearings:","hearings@middlesbrough.countycourt.gsi.gov.uk","600"
"327","Enquiries:","enquiries@truro.crowncourt.gsi.gov.uk","617"
"329","Enquiries:","wy-wakefieldmags@hmcts.gsi.gov.uk","627"
"330","Bailiffs:","bailiffs@walsall.countycourt.gsi.gov.uk","629"
"331","e-Filing:","e-filing@walsall.countycourt.gsi.gov.uk","629"
"332","Enquiries:","enquiries@walsall.countycourt.gsi.gov.uk","629"
"333","Family:","family@walsall.countycourt.gsi.gov.uk","629"
"334","Hearings:","hearings@walsall.countycourt.gsi.gov.uk","629"
"336","Enquiries:","warrington.cmb.cm@hmcts.gsi.gov.uk","635"
"337","Enquiries:","cumbria.west.magistrates@hmcts.gsi.gov.uk","657"
"338","Enquiries:","wimbledon.mc@hmcts.gsi.gov.uk","662"
"340","Bailiffs:","bailiffs@wolverhampton.countycourt.gsi.gov.uk","671"
"341","e-Filing:","e-filing@wolverhampton.countycourt.gsi.gov.uk","671"
"342","Enquiries:","enquiries@wolverhampton.countycourt.gsi.gov.uk","671"
"343","Family:","family@wolverhampton.countycourt.gsi.gov.uk","671"
"344","Hearings:","hearings@wolverhampton.countycourt.gsi.gov.uk","671"
"346","Enquiries:","cumbria.west.magistrates@hmcts.gsi.gov.uk","680"
"348","Bailiffs:","bailiffs@york.countycourt.gsi.gov.uk","691"
"349","e-Filing:","e-filing@york.countycourt.gsi.gov.uk","691"
"350","Enquiries:","enquiries@york.countycourt.gsi.gov.uk","691"
"351","Family:","family@york.countycourt.gsi.gov.uk","691"
"352","Hearings:","hearings@york.countycourt.gsi.gov.uk","691"
"353","Enquiries:","ny-yorkmcenq@hmcts.gsi.gov.uk","693"
"357","Enquiries:","Sam.Stevens@hmcts.gsi.gov.uk","703"
"361","Enquiries:","enquiries@croydon.countycourt.gsi.gov.uk","186"
"362","Hearings:","hearings@croydon.countycourt.gsi.gov.uk","186"
"363","e-Filing:","e-filing@croydon.countycourt.gsi.gov.uk","186"
"364","Bailiffs:","bailiffs@croydon.countycourt.gsi.gov.uk","186"
"365","Family:","family@croydon.countycourt.gsi.gov.uk","186"
"366","Enquiries:","wy-keighleymags@hmcts.gsi.gov.uk","52"
"367","Enquiries:","wy-halifaxmags@hmcts.gsi.gov.uk","262"
"368","Enquiries:","criminalappealoffice.generaloffice@hmcts.x.gsi.gov.uk","701"
"371","Crown Court Enquiry:","enquiries@norwich.crowncourt.gsi.gov.uk","445"
"372","Hearings:","hearings@oldham.countycourt.gsi.gov.uk","455"
"373","Family:","family@bradford.countycourt.gsi.gov.uk","84"
"374","Bailiffs:","bailiffs@bradford.countycourt.gsi.gov.uk","84"
"375","Hearings:","hearings@bradford.countycourt.gsi.gov.uk","84"
"376","Enquiries:","enquiries@bradford.countycourt.gsi.gov.uk","84"
"377","e-Filing:","e-filing@bradford.countycourt.gsi.gov.uk","84"
"386","Bailiffs:","bailiffs@kingstonuponhull.countycourt.gsi.gov.uk","327"
"387","Enquiries:","enquiries@kingstonuponhull.countycourt.gsi.gov.uk","327"
"388","e-Filing:","e-filing@kingstonuponhull.countycourt.gsi.gov.uk","327"
"389","Hearings:","hearings@kingstonuponhull.countycourt.gsi.gov.uk","327"
"390","Family:","family@kingstonuponhull.countycourt.gsi.gov.uk","327"
"391","Customer Service Officer:","hull.cmb.cso@hmcts.gsi.gov.uk","327"
"392","Listing:","hull.cmb.lo@hmcts.gsi.gov.uk","327"
"393","Administration:","hull.cmb.admin@hmcts.gsi.gov.uk","327"
"394","Family:","family@birmingham.countycourt.gsi.gov.uk","55"
"395","Enquiries:","enquiries@huddersfield.countycourt.gsi.gov.uk","300"
"397","List Office Enquiries:","listing@central.crowncourt.gsi.gov.uk","143"
"398","Customer Service Enquiries:","ccc.cso@hmcts.gsi.gov.uk","143"
"399","Case Progression Enquiries:","caseprogression@central.crowncourt.gsi.gov.uk","143"
"400","Results Enquiries:","results@central.crowncourt.gsi.gov.uk","143"
"405","Enquiries:","cb-enquiries@hmcts.gsi.gov.uk","127"
"407","Enquiries:","cb-enquiries@hmcts.gsi.gov.uk","469"
"408","Bailiffs:","bailiffs@leeds.countycourt.gsi.gov.uk","341"
"409","Enquiries:","enquiries@leeds.countycourt.gsi.gov.uk","341"
"410","Hearings:","hearings@leeds.countycourt.gsi.gov.uk","341"
"411","Family:","family@leeds.countycourt.gsi.gov.uk","341"
"412","e-Filing:","e-filing@leeds.countycourt.gsi.gov.uk","341"
"413","Enquiries:","enquiries@southwark.crowncourt.gsi.gov.uk","557"
"414","Case progression:","caseprogression@southwark.crowncourt.gsi.gov.uk","557"
"415","Listing:","listing@southwark.crowncourt.gsi.gov.uk","557"
"416","Court Manager:","southwark.crn.cm@hmcts.gsi.gov.uk","557"
"417","Deputy Court Manager:","southwark.crn.dcm@hmcts.gsi.gov.uk","557"
"418","Accommodation Officer:","southwark.crn.alo@hmcts.gsi.gov.uk","557"
"419","Office Manager:","southwark.crn.om@hmcts.gsi.gov.uk","557"
"420","Jury Manager:","southwark.crn.cjm@hmcts.gsi.gov.uk","557"
"421","Court Clerk Manager:","southwark.crn.ccm@hmcts.gsi.gov.uk","557"
"422","Bailiffs:","bailiffs@watford.countycourt.gsi.gov.uk","638"
"423","Family:","family@watford.countycourt.gsi.gov.uk","638"
"424","Hearings:","hearings@watford.countycourt.gsi.gov.uk","638"
"425","Civil Section","enquiries@watford.countycourt.gsi.gov.uk","638"
"426","e-Filing:","e-filing@watford.countycourt.gsi.gov.uk","638"
"428","Clerk to the Justices:","NO-NewcastleMC@hmcts.gsi.gov.uk","425"
"429","Deputy Clerk to the Justices:","NO-NewcastleMC@hmcts.gsi.gov.uk","425"
"430","Principal Admin Manager:","NO-NewcastleMC@hmcts.gsi.gov.uk","425"
"434","Court Manager:","sunderland.cty.cm@hmcts.gsi.gov.uk","583"
"435","Customer Service Officer:","sunderland.cty.am@hmcts.gsi.gov.uk","583"
"440","Enquiries:","dy-powysmcinfo@hmcts.gsi.gov.uk","644"
"441","Enquiries:","enquiries@swansea.countycourt.gsi.gov.uk","588"
"447","Enquiries:","customerservice.tec@hmcts.gsi.gov.uk","714"
"448","Enquiries:","customerservice.caps@hmcts.gsi.gov.uk","711"
"450","Enquiries:","customerservice.cpc@hmcts.gsi.gov.uk","715"
"451","Enquiries:","customerservice.mcol@hmcts.gsi.gov.uk","713"
"454","Listing:","du-durhammclisting@hmcts.gsi.gov.uk","471"
"455","Listing:","du-durhammclisting@hmcts.gsi.gov.uk","216"
"456","Scheduling enquiries:","ha-sotonmclist@hmcts.gsi.gov.uk","551"
"457","Listing:","gl-swesternmclist@hmcts.gsi.gov.uk","24"
"458","Enquiries:","halifax.cty.cm@hmcts.gsi.gov.uk","261"
"460","Customer Service:","carole.abbott2@hmcts.gsi.gov.uk","664"
"461","Enquiries:","enquires@mold.crowncourt.gsi.gov.uk","412"
"462","Enquiries:","chester.enquiries@chester.crowncourt.gsi.gov.uk","333"
"463","Enquiries:","enquires@mold.crowncourt.gsi.gov.uk","119"
"464","Enquiries:","chester.enquiries@chester.crowncourt.gsi.gov.uk","157"
"465","Listing:","gl-swesternmclist@hmcts.gsi.gov.uk","548"
"466","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","554"
"467","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","40"
"469","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","173"
"470","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","273"
"471","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","266"
"472","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","224"
"473","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","151"
"474","Enquiries:","es-osprey.general@hmcts.gsi.gov.uk","668"
"475","Enquiries:","enquires@mold.crowncourt.gsi.gov.uk","720"
"476","Enquiries:","enquires@mold.crowncourt.gsi.gov.uk","722"
"477","Bailiffs:","bailiffs@middlesbrough.countycourt.gsi.gov.uk","403"
"478","e-Filing:","e-filing@middlesbrough.countycourt.gsi.gov.uk","403"
"479","Enquiries:","enquiries@middlesbrough.countycourt.gsi.gov.uk","403"
"480","Family:","family@middlesbrough.countycourt.gsi.gov.uk","403"
"481","Hearings:","hearings@middlesbrough.countycourt.gsi.gov.uk 
","403"
"482","Bailiffs:","bailiffs@bolton.countycourt.gsi.gov.uk","73"
"483","e-Filing:","e-filing@bolton.countycourt.gsi.gov.uk","73"
"484","Enquiries:","enquiries@bolton.countycourt.gsi.gov.uk","73"
"485","Family:","family@bolton.countycourt.gsi.gov.uk","73"
"486","Hearings:","hearings@bolton.countycourt.gsi.gov.uk","73"
"487","Bailiffs:","bailiffs@birkenhead.countycourt.gsi.gov.uk","53"
"488","e-Filing:","e-filing@birkenhead.countycourt.gsi.gov.uk","53"
"489","Enquiries:","enquiries@birkenhead.countycourt.gsi.gov.uk","53"
"490","Family:","family@birkenhead.countycourt.gsi.gov.uk","53"
"491","Hearings:","hearings@birkenhead.countycourt.gsi.gov.uk","53"
"497","Enquiries:","av-taunton.mc@hmcts.gsi.gov.uk","599"
"498","Enquiries:","av-yate.mc@hmcts.gsi.gov.uk","434"
"500","Enquiries:","av-bristol.mc@hmcts.gsi.gov.uk","103"
"501","Enquiries:","av-taunton.mc@hmcts.gsi.gov.uk","92"
"502","Enquiries:","av-bath.mc@hmcts.gsi.gov.uk","44"
"504","Bailiffs:","bailiffs@exeter.countycourt.gsi.gov.uk","227"
"505","e-Filing:","e-filing@exeter.countycourt.gsi.gov.uk","227"
"506","Enquiries:","enquiries@exeter.countycourt.gsi.gov.uk","227"
"507","Family:","family@exeter.countycourt.gsi.gov.uk","227"
"508","Hearings:","hearings@exeter.countycourt.gsi.gov.uk","227"
"509","Bailiffs:","bailiffs@Brentford.countycourt.gsi.gov.uk","88"
"510","e-Filing:","e-filing@Brentford.countycourt.gsi.gov.uk","88"
"511","Family:","family@Brentford.countycourt.gsi.gov.uk","88"
"512","Hearings:","hearings@Brentford.countycourt.gsi.gov.uk","88"
"513","Enquiries:","enquiries@Brentford.countycourt.gsi.gov.uk","88"
"515","Bailiffs:","bailiffs@barnsley.countycourt.gsi.gov.uk","32"
"516","e-Filing:","e-filing@barnsley.countycourt.gsi.gov.uk","32"
"517","Enquiries:","enquiries@barnsley.countycourt.gsi.gov.uk","32"
"518","Family:","family@barnsley.countycourt.gsi.gov.uk","32"
"519","Hearings:","hearings@barnsley.countycourt.gsi.gov.uk","32"
"520","Enquiries:","enquiries@meltonmowbray.countycourt.gsi.gov.uk","397"
"521","Bailiffs:","bailiffs@lambeth.countycourt.gsi.gov.uk","334"
"522","e-Filing:","e-filing@lambeth.countycourt.gsi.gov.uk","334"
"523","Enquiries:","enquiries@lambeth.countycourt.gsi.gov.uk","334"
"524","Family:","family@lambeth.countycourt.gsi.gov.uk","334"
"525","Hearings:","hearings@lambeth.countycourt.gsi.gov.uk","334"
"526","Enquiries:","westcornwall@hmcts.gsi.gov.uk","618"
"527","Enquiries:","westcornwall@hmcts.gsi.gov.uk","314"
"528","Enquiries:","westcornwall@hmcts.gsi.gov.uk","124"
"530","Enquiries:","no-senorthmc@hmcts.gsi.gov.uk","542"
"531","Bailiffs:","bailiffs@blackpool.countycourt.gsi.gov.uk","65"
"533","Enquiries:","enquiries@blackpool.countycourt.gsi.gov.uk","65"
"534","Family:","family@blackpool.countycourt.gsi.gov.uk","65"
"535","Hearings:","hearings@blackpool.countycourt.gsi.gov.uk","65"
"536","Family:","family@brighton.countycourt.gsi.gov.uk","724"
"537","Bailiffs:","bailiffs@newcastle.countycourt.gsi.gov.uk","423"
"538","e-Filing:","e-filing@newcastle.countycourt.gsi.gov.uk
","423"
